Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,16.951,17.067,16.951,17.067,7003,0
2005-02-28,17.027,17.027,16.951,16.974,9145,0
2005-03-01,17.036,17.044,17.013,17.044,16347,0
2005-03-02,16.867,16.982,16.859,16.951,72413,0
2005-03-03,17.027,17.027,17.027,17.027,389,0
2005-03-04,17.182,17.276,17.182,17.276,4124,0
2005-03-07,17.276,17.276,17.122,17.213,15100,0
2005-03-08,17.262,17.268,17.262,17.268,1483,0
2005-03-09,17.207,17.229,17.13,17.13,5446,0
2005-03-10,17.376,17.376,17.113,17.113,7067,0
2005-03-11,17.165,17.174,17.146,17.174,2470,0
2005-03-14,17.42,17.42,17.027,17.027,7003,0
2005-03-15,17.105,17.105,17.051,17.051,2536,0
2005-03-16,17.067,17.067,17.013,17.013,2722,0
2005-03-17,16.991,17.006,16.991,16.999,4694,0
2005-03-18,16.875,17.067,16.805,17.067,16332,0
2005-03-21,16.62,16.665,16.62,16.665,3307,0
2005-03-22,16.31,16.737,16.31,16.492,11018,0
2005-03-23,16.386,16.386,16.336,16.373,8232,0
2005-03-28,16.248,16.396,16.248,16.351,2722,0
2005-03-31,16.89,16.89,16.412,16.412,972,0
2005-04-04,16.227,16.301,16.227,16.301,4761,0
2005-04-05,16.343,16.412,16.343,16.412,12642,0
2005-04-06,16.492,16.497,16.492,16.497,1559,0
2005-04-07,16.551,16.597,16.551,16.558,2900,0
2005-04-08,16.588,16.588,16.574,16.588,2479,0
2005-04-11,16.301,16.651,16.301,16.643,4670,0
2005-04-12,16.497,16.497,16.497,16.497,1321,0
2005-04-13,16.543,16.543,16.527,16.527,3675,0
2005-04-14,16.474,16.527,16.365,16.365,2529,0
2005-04-15,16.386,16.386,16.181,16.181,13315,0
2005-04-18,16.15,16.158,15.909,16.158,4024,0
2005-04-20,16.197,16.197,16.197,16.197,389,0
2005-04-21,16.351,16.351,16.351,16.351,389,0
2005-04-22,16.373,16.396,16.365,16.365,7430,0
2005-04-25,16.827,16.827,16.343,16.396,4936,0
2005-04-26,16.295,16.295,16.274,16.274,1167,0
2005-04-27,16.125,16.158,16.104,16.158,4731,0
2005-04-28,16.165,16.165,16.057,16.057,777,0
2005-04-29,16.197,16.197,16.119,16.181,1167,0
2005-05-02,16.188,16.232,16.181,16.232,1559,0
2005-05-03,16.205,16.24,16.205,16.24,4602,0
2005-05-05,16.504,16.535,16.483,16.511,2139,0
